T_begin,T_end,u[m/s],v[m/s],w[m/s],Ts[deg C],Tp[deg C],a[g/m3],CO2[mmol/m3]
28.05.2020 08:00,28.05.2020 08:30,3.9423769,0.0,0.0,14.984749800000003,-9999.900391,6.7497902000000005,17.2831707
28.05.2020 08:30,28.05.2020 09:00,4.187145200000001,0.0,0.0,14.9354744,-9999.900391,6.7745690000000005,17.226076100000004
28.05.2020 09:00,28.05.2020 09:30,3.5490977999999997,0.0,0.0,15.471697800000001,-9999.900391,6.829958,17.0933952
28.05.2020 09:30,28.05.2020 10:00,4.2690616,0.0,0.0,16.1904831,-9999.900391,6.3957849,16.9889698
28.05.2020 10:00,28.05.2020 10:30,4.9467764,0.0,0.0,16.8439388,-9999.900391,6.0685492,17.0041046
28.05.2020 10:30,28.05.2020 11:00,5.9266419,0.0,0.0,17.3459721,-9999.900391,6.3034797,16.963901500000002
28.05.2020 11:00,28.05.2020 11:30,4.9284277,0.0,0.0,17.8310337,-9999.900391,6.4691982,16.948080100000002
28.05.2020 11:30,28.05.2020 12:00,4.5770154000000005,0.0,0.0,17.698101,-9999.900391,6.7725677,16.9234009
28.05.2020 12:00,28.05.2020 12:30,5.0900569,0.0,0.0,17.601244,-9999.900391,7.1087103,16.8948898
28.05.2020 12:30,28.05.2020 13:00,3.7950494,0.0,0.0,17.5334454,-9999.900391,6.7948976,16.9270744
